,BIN,apt_num,price_diff,rooms,bedrooms,bath,no_proximity_newdev,BoroID
35,1009895.0,1,-0.01001001001001001,5,3,1,True,1
36,1009895.0,3,-0.015278462296697881,5,3,1,True,1
37,1009895.0,4,0.0,5,3,1,True,1
38,1009895.0,5,0.0,5,3,1,True,1
39,1011938.0,2,-0.027816411682892908,2,0,1,True,1
40,1011938.0,4,-0.0205819730305181,2,0,1,True,1
41,1011938.0,7,-0.0824322285369411,3,1,1,True,1
42,1012422.0,3,-0.052700922266139656,6,3,1,True,1
43,1012422.0,7,-0.052700922266139656,3,2,1,True,1
44,1013783.0,6,-0.03125,3,1,1,True,1
45,1013886.0,5,-0.0072992700729927005,4,2,1,True,1
46,1018509.0,1,-0.02890624999999993,3,1,1,True,1
47,1018509.0,2,-0.02890624999999993,3,1,1,True,1
48,1018509.0,5,-0.02890624999999993,3,1,1,True,1
49,1018509.0,6,-0.020930232558139535,3,1,1,True,1
50,1018892.0,2,0.017964071856287425,2,0,1,True,1
51,1018892.0,3,0.023809523809523808,2,0,1,True,1
52,1018892.0,7,0.023809523809523808,2,0,1,True,1
53,1026896.0,2,-0.05084745762711865,5,2,1,False,1
54,1030104.0,2,0.0013483903590089331,4,1,1,True,1
55,1030104.0,5,0.0013483903590089331,3,1,1,True,1
56,1030154.0,3,-0.07692307692307693,3,1,1,True,1
57,1030154.0,6,-0.07692307692307693,3,1,1,True,1
58,1030332.0,1,0.04285714285714286,3,3,1,False,1
59,1033126.0,2,-0.03636363636363636,3,1,1,False,1
60,1033126.0,6,-0.03636363636363636,3,1,1,False,1
61,1040887.0,1,0.757231176860234,5,3,2,True,1
62,1040887.0,3,0.757231176860234,5,3,2,True,1
63,1040887.0,6,0.757231176860234,5,3,2,True,1
64,1046972.0,1,0.047317073170731666,5,3,2.5,True,1
65,1046972.0,7,0.1,6,3,2.5,True,1
66,1047510.0,4,-0.04789855072463768,5,2,2,True,1
67,1047510.0,5,-0.141236019266879,9,4,4,True,1
68,1047510.0,6,-0.0395942028985507,5,2,2,True,1
69,1050380.0,4,0.06329113924050633,2,0,1,True,1
70,1051184.0,5,0.1271186440677966,4,2,1,True,1
71,1051813.0,6,0.0006486286137879911,2,2,1,False,1
72,1052075.0,1,0.0164402578086266,4,2,1,False,1
73,1052075.0,2,0.010323267260875216,4,2,1,False,1
74,1052075.0,3,0.0164402578086266,2,0,1,False,1
75,1052075.0,4,0.0164402578086266,3,2,1,False,1
76,1052075.0,5,0.0164402578086266,2,0,1,False,1
77,1052075.0,7,0.17805084745762711,2,1,1,False,1
78,1053831.0,1,-0.029411764705882353,2,1,1,False,1
79,1054010.0,5,-0.1935294117647059,5,4,1,False,1
80,1054010.0,6,-0.21070588235294108,8,5,2,False,1
81,1054419.0,2,-0.07181136120042872,6,3,1,False,1
82,1054419.0,6,-0.07181136120042872,6,3,1,False,1
83,1054419.0,7,-0.07181136120042872,5,3,1,False,1
84,1054619.0,4,-0.06818181818181818,4,2,1,False,1
85,1054619.0,5,-0.06818181818181818,5,2,1,False,1
86,1054619.0,6,-0.06818181818181818,4,2,1,False,1
87,1054782.0,1,-0.05318588730911006,4,2,1,False,1
88,1054782.0,3,-0.05318588730911006,4,1,1,False,1
89,1054782.0,4,-0.05318588730911006,4,2,1,False,1
90,1054782.0,7,-0.05318588730911006,3,1,1,False,1
91,1055134.0,1,-0.29531797696544826,4,2,1,False,1
92,1055134.0,4,-0.09211006200105364,5,3,1,False,1
93,1055134.0,5,0.11611111111111111,3,1,1,False,1
94,1055134.0,7,-0.16121248680440356,5,3,1,False,1
95,1055217.0,3,-0.05055055055055055,6,4,2,False,1
96,1055230.0,6,-0.04024767801857585,5,3,1,False,1
97,1055487.0,2,-0.01476510067114094,5,3,1.5,False,1
98,1055487.0,4,-0.03571428571428571,3,1,1,False,1
99,1055487.0,6,-0.05315315315315311,5,3,1.5,False,1
100,1055742.0,1,-0.061946902654867256,2,0,1,False,1
101,1055742.0,2,0.0196078431372549,4,2,1,False,1
102,1055742.0,4,0.009174311926605571,3,2,1,False,1
103,1057953.0,1,0.011299435028248537,4,2,1,False,1
104,1057953.0,5,0.023168440826549726,3,2,1,False,1
105,1057953.0,6,0.023168440826549726,4,2,1,False,1
106,1057953.0,7,0.026217228464419477,4,2,1,False,1
107,1059442.0,2,0.010416666666666715,2,1,1,False,1
108,1059611.0,2,-0.004926108374384214,5,3,1,False,1
109,1059611.0,4,0.02857142857142859,5,3,1,False,1
